lemma,count
Jack,40
yourself,40
front,40
instant,40
kill,40
heel,40
skin,40
mark,40
male,40
shout,40
Eglinton,40
cheek,39
address,39
suit,39
Saint,39
top,39
dance,39
deep,39
else,39
lane,39
key,39
power,39
wash,39
silver,39
sand,39
suddenly,39
Richie,39
Lynch,39
flesh,39
poet,39
become,39
piece,38
bottle,38
ball,38
Kernan,38
MRS,38
M’Coy,38
clothe,38
gate,38
gently,38
need,38
bury,38
beautiful,38
spirit,38
flow,38
ground,38
William,38
contain,38
beyond,38
George,38
state,38
slip,38
whether,37
whore,37
Bob,37
happen,37
Myles,37
la,37
minute,37
jew,37
fold,37
smoke,37
hate,37
saint,37
outside,37
pleasure,37
salute,37
BELLO,37
fresh,37
bless,37
cat,37
everything,37
press,37
pin,36
rain,36
sense,36
breast,36
garden,36
animal,36
pity,36
Corny,36
Paddy,36
either,36
picture,36
Kennedy,36
summer,36
Jesus,36
Kelleher,36
amid,36
scene,36
prince,36
wild,36
during,36
butter,36
funeral,36
silence,36
soon,35
loose,35
probably,35
pretty,35
stay,35
Caffrey,35
simple,35
company,35
egg,35
eleven,35
shirt,35
receive,35
quiet,35
wine,34
sink,34
less,34
strong,34
fish,34
O.,34
various,34
Tommy,34
coin,34
manner,34
sight,34
Blazes,34
fool,34
sometimes,34
Flynn,34
baby,34
character,34
floor,34
certainly,34
Moses,34
ancient,34
Wyse,34
bone,34
fight,34
remain,34
whatever,34
ship,34
laughter,34
Burke,33
softly,33
birth,33
sheet,33
remind,33
attention,33
quietly,33
youth,33
B.,33
mention,33
hotel,33
Haines,33
view,33
easy,33
row,33
zoe,33
thee,33
remark,33
school,33
Milly,33
object,33
James,33
queen,33
tail,33
lamp,33
story,33
subject,32
spring,32
grace,32
chair,32
host,32
handkerchief,32
Tap,32
usual,32
shine,32
5,32
cool,32
hello,32
Hynes,32
coat,32
shut,32
burn,32
King,32
reverend,32
coffin,32
knife,32
wet,32
real,32
south,32
shoot,32
happy,32
aside,31
fit,31
pure,31
opposite,31
image,31
fashion,31
£,31
god,31
hole,31
crack,31
common,31
Christ,31
Patrick,31
desire,31
indeed,31
produce,31
LYNCH,31
almost,31
middle,31
button,31
honour,31
bag,31
bird,31
haine,31
clear,31
brow,31
beard,30
space,30
WATCH,30
luck,30
tight,30
third,30
tram,30
quarter,30
bob,30
Kinch,30
history,30
visit,30
worth,30
Old,30
lock,30
royal,30
kitchen,30
several,30
London,30
approach,30
stuff,30
fill,30
loudly,30
taste,30
ghost,29
leap,29
crowd,29
town,29
candle,29
feed,29
effect,29
party,29
float,29
explain,29
whistle,29
horn,29
doorway,29
W.,29
begat,29
speech,29
Davy,29
wheel,29
moustache,29
breathe,29
D.,29
murder,29
empty,29
widow,29
flash,29
twenty,29
print,29
honourable,29
A.,29
Paris,29
render,28
meat,28
pot,28
imagine,28
beat,28
bay,28
rush,28
virgin,28
position,28
Goulding,28
curse,28
hurry,28
tower,28
guest,28
peer,28
shell,28
perfume,28
dry,28
Edy,28
tomorrow,28
queer,28
Nosey,28
reply,28
match,28
piano,28
repeat,28
ride,27
strange,27
brain,27
spot,27
tall,27
truth,27
wide,27
stretch,27
Menton,27
straw,27
instance,27
E.,27
hee,27
bottom,27
war,27
fancy,27
quay,27
slide,27
belly,27
cream,27
game,27
kneel,27
ruin,27
mass,27
shoe,27
editor,27
clap,27
swell,27
example,27
food,27
cigarette,27
curve,27
serve,27
pace,27
envelope,27
straight,26
noble,26
prove,26
beg,26
statue,26
regard,26
cock,26
drawer,26
Thomas,26
reflection,26
afraid,26
H.,26
Martha,26
shape,26
million,26
ashplant,26
dull,26
circle,26
allow,26
thick,26
Byrne,26
salt,26
rev,26
bosom,26
drunk,26
bull,26
Malachi,26
perceive,26
Marion,26
pipe,26
sail,26
Dr,26
tiny,26
bank,26
train,26
twin,26
false,26
reach,26
flat,26
influence,26
shade,26
Irish,26
burst,25
fade,25
expect,25
soap,25
Zoe,25
pain,25
BELLA,25
Kitty,25
study,25
besides,25
grand,25
Dillon,25
accept,25
paw,25
occasion,25
L.,25
mountain,25
kidney,25
bare,25
promise,25
bucket,25
singe,25
stocking,25
reflect,25
growl,25
waistcoat,25
lightly,25
park,25
FLORRY,25
lend,25
jingle,25
faith,25
umbrella,25
violet,25
thumb,25
easily,25
cast,24
collar,24
dinner,24
cloud,24
chain,24
cheap,24
medical,24
student,24
french,24
pint,24
admire,24
chance,24
weak,24
particular,24
fruit,24
evidence,24
brush,24
push,24
twelve,24
result,24
Boardman,24
soldier,24
loud,24
ready,24
early,24
gentle,24
plain,24
possibly,24
dirty,24
married,24
Peter,24
special,24
Joseph,24
habit,24
pretend,24
link,24
glove,24
England,24
tie,24
noise,24
stride,23
term,23
Gibraltar,23
Tweedy,23
tonight,23
rattle,23
bid,23
shop,23
petticoat,23
nail,23
Breen,23
somebody,23
weight,23
odd,23
except,23
Harry,23
heat,23
plump,23
cow,23
quid,23
organ,23
Michael,23
sake,23
reveal,23
sideways,23
counter,23
hill,23
concern,23
cease,23
bath,23
purchase,23
tone,23
spanish,23
chord,23
excuse,23
porter,23
wipe,23
suffer,23
meeting,23
potato,23
peep,22
3,22
problem,22
hero,22
proud,22
Gob,22
joy,22
frown,22
fast,22
beneath,22
doctor,22
article,22
design,22
sky,22
mad,22
concert,22
wonderful,22
F.,22
Parnell,22
Best,22
veil,22
cough,22
nation,22
purpose,22
weep,22
movement,22
palm,22
box,22
oil,22
due,22
force,22
nobody,22
blush,22
island,22
tip,22
Poldy,22
pleasant,22
enjoy,22
neither,22
suggest,22
awfully,22
bite,22
breakfast,22
T.,22
plate,22
smart,22
teach,22
North,22
terrible,22
accord,22
period,22
wake,22
highly,22
glad,21
gravely,21
Lidwell,21
4,21
board,21
cure,21
Terry,21
Virag,21
clock,21
national,21
toss,21
chief,21
west,21
pink,21
poetry,21
prayer,21
servant,21
already,21
phenomenon,21
cheer,21
feeling,21
interesting,21
strand,21
settle,21
MacHugh,21
non,21
rule,21
bind,21
rose,21
drown,21
lump,21
Jacky,21
famous,21
original,21
remove,21
rub,21
existence,21
Freeman,21
chew,21
Doran,21
possess,21
mercy,21
tide,21
peace,21
Holles,21
event,21
bill,21
brute,20
vast,20
castle,20
action,20
throat,20
station,20
dare,20
lover,20
skull,20
couple,20
yard,20
hurt,20
creature,20
sudden,20
member,20
engage,20
virag,20
curl,20
especially,20
build,20
scarlet,20
witness,20
future,20
lodge,20
et,20
railway,20
stamp,20
aunt,20
stranger,20
everyone,20
spit,20
sovereign,20
angel,20
officer,20
yesterday,20
shove,20
gay,20
boat,20
pillar,20
measure,20
roman,20
perfect,20
Mina,20
Lyons,20
arch,20
interest,20
chamber,20
odour,20
favour,20
naked,20
fan,20
J,20
embrace,19
handsome,19
poison,19
sharp,19
slightly,19
pig,19
soup,19
band,19
iron,19
Bantam,19
scratch,19
wax,19
upper,19
christian,19
wander,19
rapidly,19
seek,19
river,19
pen,19
steel,19
sacred,19
tired,19
sick,19
shelter,19
bet,19
sorry,19
stiff,19
proper,19
consequence,19
harm,19
thigh,19
search,19
10,19
fro,19
edge,19
nun,19
wit,19
weather,19
count,19
newspaper,19
mourning,19
brief,19
golden,19
delight,19
fault,19
mile,19
’ve,19
list,19
lap,19
joke,19
proceed,19
justice,19
direction,19
stage,19
rag,19
BREEN,19
Purefoy,19
marriage,19
tender,19
duck,19
surprise,19
Dixon,19
finish,19
soil,19
plant,19
alive,19
pale,19
distant,18
increase,18
premise,18
include,18
pluck,18
welcome,18
nurse,18
swear,18
Trinity,18
tooraloom,18
value,18
